name,display_name,user_id,bio,followers_count,following_count,acct_created,location
RepJoeWilson,Joe Wilson,254082173,Official Twitter account for Congressman Joe Wilson (SC-02). Grateful to serve as Chairman of the HASC Subcommittee on Readiness,11250,362,2011-02-18 15:18:45,
USRepRodney,Rodney Frelinghuysen,1382011333,Proudly serving the 11th Congressional District of New Jersey in the U.S. House of Representatives and Chairman of @HouseAppropsGOP,12565,102,2013-04-26 14:05:13,
GOP,GOP,11134252,Join our team and get official updates from the Republican National Committee. ⬇️,1525487,1698,2007-12-13 17:15:41,
farenthold,Blake Farenthold,17896154,Proudly serving Texas' 27th Congressional District. @GOPoversight @HouseJudiciary @Transport,21821,1038,2008-12-05 12:32:52,"Corpus Christi, TX"
NRAILA,NRA-ILA,531636273,The National Rifle Association Institute for Legislative Action (NRA-ILA) is the lobbying arm of the NRA. #NRA #DefendtheSecond #2A,30933,186,2012-03-20 19:07:59,"Fairfax, VA"
weeklystandard,The Weekly Standard,17546958,A magazine of news and opinion.  Subscribe here: https://t.co/DWtb5YnB14,333378,15527,2008-11-21 22:00:29,Washington
elianayjohnson,Eliana Johnson,757893380,"Covering the White House for @politico. Formerly @NRO Washington Editor, Fox News producer / gchat: eliana.y.johnson",31299,1486,2012-08-14 21:08:52,"Washington, DC * Missing NYC"
RepPaulMitchell,Rep. Paul Mitchell,811632636598910976,Official account for Congressman Paul Mitchell #MI10,2752,365,2016-12-21 18:01:14,
j_strong,Jonathan Strong,14213413,,6228,1045,2008-03-25 05:25:14,"Washington, D.C."
RepKevinYoder,Rep. Kevin Yoder,252819642,"I represent the 3rd District of Kansas in the United States Congress, where I serve on the House Appropriations Committee.",26106,1651,2011-02-16 00:04:41,KS 3rd District & DC
RepJasonLewis,Jason Lewis,816047090849746945,Proudly representing #MN02.   Fighting for a better future for our kids and a government that works for you.,4926,71,2017-01-02 22:22:42,
boblatta,U.S. Rep. Bob Latta,15394954,Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Chairman of the Digital Commerce & Consumer Protection Subcommittee.,33932,5841,2008-07-11 18:33:24,"ÜT: 41.052377,-82.130057"
LamarSmithTX21,Lamar Smith,15856366,"I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi",23356,3669,2008-08-14 21:53:40,TX21
HurdOnTheHill,Rep. Will Hurd,2963445730,"San Antonio native, @TAMU grad, former undercover @CIA officer, cybersecurity expert, Chair of IT Subcommittee on @GOPOversight, also on @HouseHomeland & HPSCI",23088,1017,2015-01-06 04:27:18,#TX23
PatrickMcHenry,Patrick McHenry,27676828,I represent the citizens of North Carolina’s 10th District in the United States Congress.,22510,3822,2009-03-30 16:42:39,"Denver, NC"
MeghanMcCain,Meghan McCain,23176276,Co-host of @TheView. Blonde Republican. Mrs. Domenech. Ice Princess. #FuckCancer 🇺🇸🌵❄️,409714,596,2009-03-07 07:49:49,Arizonan/New Yorker
RepByrne,Rep. Bradley Byrne,2253968388,I am proud to represent Alabama's First Congressional District in the U.S. House of Representatives.,15492,3629,2013-12-19 19:42:18,Southwest Alabama
SenThomTillis,Senator Thom Tillis,2964174789,Official Twitter account of North Carolina U.S. Senator Thom Tillis.,47800,4597,2015-01-06 14:22:18,"Washington, D.C."
RepTrey,Trey Hollingsworth,811986281177772032,Proudly serving my fellow Hoosiers of Indiana's 9th District. Member of the House Financial Services Committee.,5428,508,2016-12-22 17:26:30,Indiana's 9th District
RepJohnFaso,John Faso,815931811348017152,Representing New York's 19th Congressional District,4655,127,2017-01-02 14:44:37,NY-19
TomRooney,Tom Rooney,23970171,Proudly represent Florida's 17th District in the U.S. House of Representatives. Husband & father of 3 sons. RT ≠ endorsement.,20491,3872,2009-03-12 15:44:41,Florida
DanaRohrabacher,Dana Rohrabacher,19139963,U.S. Congressman representing CA-48.  Former speechwriter for President Reagan. Surfer and father of 8 year old triplets.,35569,362,2009-01-18 08:35:01,"Huntington Beach, CA"
